名称,名称_カナ,名称_英字,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
金沢市森山公民館,カナザワシモリヤマコウミンカン,kanazawashimoriyamakominkan,金沢市森山２丁目11番13号,石川県,金沢市,森山2丁目,11番13号,,36.5794096,136.6690429,12.3,,1,1,,1,1,,,,1,,,,,,
金沢市鳴和台市民体育会館,カナザワシナルワダイシミンタイイクカイカン,kanazawashinaruwadaishimintaiikukaikan,金沢市鳴和台285番地,石川県,金沢市,鳴和台,285番地,,36.57702167,136.6792616,51,,1,,,1,1,,,,1,,,,,,
小金町公園,コガネマチコウエン,koganemachikoen,金沢市小金町183番地ほか,石川県,金沢市,小将町,183番地ほか,,36.58322889,136.6712046,12.1,,,,,1,1,,,,,,,,,,
鳴和憩いの広場,ナルワイコイノヒロバ,naruwaikoinohiroba,金沢市鳴和町タ175番地ほか,石川県,金沢市,鳴和町タ,175番地ほか,,36.58020062,136.6781863,36.6,,,,,1,1,,,,,,,,,,
鳴和台桜丘公園,ナルワダイサクラガオカコウエン,naruwadaisakuragaokakoen,金沢市鳴和台20番地,石川県,金沢市,鳴和台,20番地,,36.58088364,136.6790823,41,,,,,1,1,,,,,,,,,,
鳴和台市民公園,ナルワダイシミンコウエン,naruwadaishiminkoen,金沢市鳴和台285番地ほか,石川県,金沢市,鳴和台,285番地ほか,,36.57705301,136.6800054,51,,,,,1,1,,,,,,,,,,
金沢市立小坂小学校,カナザワシリツコサカショウガッコウ,kanazawashiritsukosakashogakko,金沢市小坂町中142番地,石川県,金沢市,小坂町中,142番地,,36.59010151,136.6776713,11.9,,1,1,,1,1,,,,1,,,,,,
星稜高等学校,セイリョウコウトウガッコウ,seiryokotogakko,金沢市小坂町南206番地,石川県,金沢市,小坂町南,206番地,,36.58495928,136.6824429,16.9,,1,,,1,1,,,,1,,,,,,
金沢市立北鳴中学校,カナザワシリツホクメイチュウガッコウ,kanazawashiritsuhokumeichugakko,金沢市小坂町北95番地,石川県,金沢市,小坂町北,95番地,,36.59512422,136.6764992,8.7,,1,1,,1,1,,,,1,,,,,,
金沢星稜大学,カナザワセイリョウダイガク,kanazawaseiryodaigaku,金沢市御所町丑10番地１,石川県,金沢市,御所町丑,10番地,,36.58360241,136.6820866,16,,,,,1,1,,,,1,,,,,,
金沢市小坂公民館,カナザワシコサカコウミンカン,kanazawashikosakakominkan,金沢市小坂町北312番地,石川県,金沢市,小坂町北,312番地,,36.593443,136.675689,11,,,1,,1,1,,,,1,,,,,,
金沢市立城北児童会館,カナザワシリツジョウホクジドウカイカン,kanazawashiritsujohokujidokaikan,金沢市小坂町西8番地11,石川県,金沢市,小坂町西,8番地11,,36.58957268,136.6718964,10.1,,1,1,,1,1,,,,1,,,,,,
金沢市営東金沢スポーツ広場,カナザワシエイヒガシカナザワスポーツヒロバ,kanazawashieihigashikanazawasupotsuhiroba,金沢市三池町240番地１,石川県,金沢市,三池町,240番地1,,36.59359632,136.6707812,7.2,,,1,,1,1,,,,,,,,,,
三池はすのみ公園,ミイケハスノミコウエン,miikehasunomikoen,金沢市三池栄町201番地,石川県,金沢市,三池栄町,201番地,,36.59632169,136.6729225,6.9,,,1,,1,1,,,,,,,,,,
三池はすの里公園,ミイケハスノサトコウエン,miikehasunosatokoen,金沢市三池栄町346番地,石川県,金沢市,三池栄町,346番地,,36.59741347,136.6689094,4.8,,,1,,1,1,,,,,,,,,,
