名称,名称_カナ,名称_英字,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
金沢大学人間社会学域学校教育学類附属中学校,カナザワダイガクニンゲンシャカイガクイキキョウイクガクルイフゾクチュウガッコウ,kanazawadaigakuningenshakaigakuikikyoikugakuruifuzokuchugakko,金沢市平和町１丁目１番15号,石川県,金沢市,平和町1丁目,1番15号,,36.53749571,136.6656569,60.1,,1,1,,1,1,,,,1,,,,,,
泉野出町第３児童公園,イズミノデマチダイサンジドウコウエン,izuminodemachidaisanjidokoen,金沢市泉野出町４丁目1533番地,石川県,金沢市,泉野出町4丁目,1533番地,,36.53555012,136.6521944,43.3,,1,1,,1,1,,,,,,,,,,
大乗寺丘陵公園,ダイジョウジキュウリョウコウエン,daijojikyuryokoen,金沢市長坂町ヲ135番地,石川県,金沢市,長坂町ヲ,135番地,,36.5303992,136.6567988,101,,1,1,,1,1,,,,,,,,,,
長坂みはらし公園,ナガサカミハラシコウエン,nagasakamiharashikoen,金沢市長坂３丁目1521番地,石川県,金沢市,長坂3丁目,1521番地,,36.5351129,136.6563848,58,,1,1,,1,1,,,,,,,,,,
長坂台児童公園,ナガサカダイジドウコウエン,nagasakadaijidokoen,金沢市長坂台136番地,石川県,金沢市,長坂台,136番地,,36.53239428,136.6526056,49,,1,1,,1,1,,,,,,,,,,
平和町第１児童公園,ヘイワマチダイイチジドウコウエン,heiwamachidaiichijidokoen,金沢市平和町３丁目419番地,石川県,金沢市,平和町3丁目,419番地,,36.53894813,136.6622215,57,,1,1,,1,1,,,,,,,,,,
金沢市立犀桜小学校（旧金沢市立新竪町小学校）,カナザワシリツサイオウショウガッコウ（キュウカナザワシリツシンタテマチショウガッコウ）,kanazawashiritsusaioshogakko（kyukanazawashiritsushintatemachishogakko）,金沢市新竪町３丁目25番地,石川県,金沢市,新竪町3丁目,25番地,,36.5500487,136.6618654,26.3,,1,1,,1,1,,,,1,,,,,,
石川県立工業高等学校,イシカワケンリツコウギョウコウトウガッコウ,ishikawakenritsukogyokotogakko,金沢市本多町２丁目３番６号,石川県,金沢市,本多町2丁目,3番6号,,36.55609278,136.6622834,28,,1,1,,1,1,,,,1,,,,,,
遊学館高等学校,ユウガクカンコウトウガッコウ,yugakukankotogakko,金沢市本多町２丁目２番３号,石川県,金沢市,本多町2丁目,2番3号,,36.55548772,136.661214,26,,1,1,,1,1,,,,1,,,,,,
金沢市新竪町公民館,カナザワシシンタテマチコウミンカン,kanazawashishintatemachikominkan,金沢市鱗町62番地,石川県,金沢市,鱗町,62番地,,36.55589341,136.6569,24,,1,1,,1,1,,,,1,,,,,,
